"commit id","commit date","commit message"
"edfccaafe3e754ed124afa67465b6044eacd3987","2007-11-17 05:47:42+00:00","Initial import.
"
"dfa41d090260eed63f3d8510571a2f6236a5ff45","2007-11-17 05:58:42+00:00","Initial import.
"
"2d58321692b42a816291e72d3cbebfda64c0a4fa","2007-11-17 16:37:28+00:00","Added indeterminate waiting swirly.
"
"c73d5a9eee4419b4b5463ab4e62489fecdb7b14e","2007-11-17 16:39:51+00:00",""
"11b618d960d482d73c339ac76308ff7183275cc0","2007-11-17 16:40:23+00:00",""
"0a4ee03304d605e7e1383aa37ff2c355a383caff","2007-11-18 03:21:34+00:00","Added about screen and icon.
"
"1c008e4dffdf42797f623a6a5ced59d705d4e6b5","2007-11-18 05:52:08+00:00","Updated icon for about screen.
"
"4d94be3c05a341c18396f45945d86d61ca86dec4","2007-11-18 07:24:50+00:00","Fixed the disconnect dialog handling.
"
"d6764b7763e7857273b65048b4eb37a3c65efade","2007-11-21 05:32:39+00:00","Merging back in the jcterm branch
"
"1c4ff63a55947db1cd730fb40856185e22bb47c6","2007-11-21 22:31:46+00:00","Added preferences, touch entropy, fixes to SoftFont.
"
"c9c36c1e2aa66708c8cff728e2e4b02de1ec08a7","2007-11-26 06:35:49+00:00","refactored preferences into a submenu
"
"2d555d046e185b229a688817ac78e7e277e5b391","2008-03-16 08:04:33+00:00","Initial update for Android SDK M5 support.
"
"5b1352c54c66fbe3307e7ff22e0543dc47f76da6","2008-08-24 23:07:29+00:00","* Fixing an off-by-one error in vt320 for ANSI 'U' escape sequences.Was messing up scrollback on irssi sessions.
* Filling buffer will ' ' (spaces) instead of null characters. Android's MONOSPACE font doesn't render the null correctly; might be trying to interpret them as unicode.  Was messing up indentation on rtorrent sessions.
* Removed SoftFont from redraw() and sped things up immensely. Everything seems to still render fine, was there a reason we needed the SoftFont?
* Corrected buffer.update[] handling so we aren't repainting entire screen each time; much faster now.
* Added OpenGL rendering by default, but doesn't change speed on emulator.
"
"a92df389bc091f288116a292fd265e1986814865","2008-08-24 23:08:37+00:00","Updated for 0.9 SDK
"
"c1e41c03ad352b00e88a926db600937f2ab06e50","2008-08-26 05:10:04+00:00","Update Trilead SSH-2 for Java from build 211 to build 213
"
"3c9229fc48f6a4f083daf1f0d070769666848ed1","2008-08-26 05:16:26+00:00","Restore Marcus Meißner's name from clobbering
"
"916ae1d563c4cbccaf8702c590d48a6138268775","2008-08-27 04:32:07+00:00","* Fixed host PICK action
* Updated deletion to go directly to the ContentProvider
"
"0930c6ca849cd42d1b57028efb99f54b06d0aed1","2008-08-27 04:34:38+00:00","* Removed static host entry in onCreate() and restored HostList selection
"
"067148300d33b83f8e807928ccd3cdeb7fe7bddc","2008-08-27 04:35:54+00:00","* Revert default action to HostList
* Rename <type/> tags to <data/>
"
"ba0d4f5a28170e52956705fe75a6763ce79e6264","2008-08-27 04:36:58+00:00","Fixed typos that reveal the origin of this file...
"
"cbf1af86640c76facfc140b5dfb83f2393c02d19","2008-08-27 10:47:56+00:00","* moved all terminal logic into a Service backend.  connections are held in place by a TerminalBridge, which keeps the connection alive and renders the screen to a
bitmap if provided.  a Console creates TerminalViews for each bridge while it is active, and handles panning back/forth between them.

* volume up/down controls will change console font size
* extended trilead library to support resizePTY() command
* left/right screen gestures will pan between various open consoles
* up/down screen gestures on right-half will look through scrollback buffer
* up/down screen gestures on left-half will trigger pageup/down keys

* broke ctrl+ keyboard mapping, will need to bring back over from older code
"
"b2d4605baaec564315832c0358ccf6e824952632","2008-08-27 11:07:56+00:00","* fixed password prompting, still messy solution
"
"3dd2329327b15e7d4cd80c6e014a51eda5884983","2008-08-27 11:09:00+00:00","added service definition
"
"e1482eed72d4ffa75c30bb60db45db59b7c8f56a","2008-08-27 11:09:26+00:00","added animations and newer layouts
"
"de8e3e056e8010af774366f4cb89e1f211b817ce","2008-08-28 04:13:26+00:00","* Only allow deletion when a host is selected.
* Fix crash when aborting password dialog.
* Arrange menu selections in a more meaningful way when hosts are selected.
"
"6681b4c809bf76cd558c5b314b6de9cfc98bc187","2008-08-28 04:15:53+00:00","* Fix typo in action name.
* Remove unnecessary imports
* Update onPause to not use deprecated Cursor functions.
* Update onResume to not use deprecated Cursor functions.
"
"071e39dc7e7d06c021a6d65ae7a65242c8ea99ed","2008-09-11 21:55:38+00:00","* WARNING: this build is broken lol

* moving more stuff over to new frontend gui in org.connectbot
* found out that we dont need a contentprovider to make desktop shortcuts, will be easy to add ssh://user@host/ uri shortcut handling
* new host-editing backend that uses preferences hack, will blog about this technique later today
* using colors to categorize hosts (does this work?)
* moved host-specific options (like disconnect/edit/delete) to long-tap menu instead of main menu
"
"345c94f8eb6a837a39123f5bc2880e4a5c8c4d8d","2008-09-15 05:19:47+00:00","* changed handling of Console window to accept ssh://user@host:port/#nickname intents, which will also be used by desktop shortcuts later
* changed terminalbridge to handle all hostkey and password authentication through console instead of android gui (mimics traditional openssh)
* added disconnect and paste functionality to Console menu
"
"4204580877b7150fc85a72542df803ec9d989103","2008-09-18 23:38:56+00:00","* connected up host bulbs (green/gray) to backend service
* switch to using a Binder and SimpleCursorAdapter instead of Adapter (slightly less efficient, but easier to update)
* added gray color for host category
* connected up easy-connect box on front screen to auto-create and launch new connection
"
"d9588eacbc781fd7d421a4d6c9d286e93cda9bf0","2008-10-22 13:46:19+00:00","* added wizard activity to show gpl eula and basic tips
* added version check against connectbot.org to help with future updates
* fixed desktop shortcuts
* other minor fixes to prep for market launch
"
"821511ea7e1a3137ae57a75068e7676bb2f22d1b","2008-10-22 14:03:32+00:00","* implemented 'delete host'
"
"23df08aaeaa5bdf0519442072aad7e5521939407","2008-10-22 14:07:07+00:00","* now updating cursor once we delete host
"
"0685384d0528e9186561d02f9193d658adeb3d45","2008-10-23 15:48:47+00:00","* forgot to add several files in last pass
* wizard layouts, buttons, and connected stateful drawable
"
